Provinsi,Umur,Tahun,Persentase
Aceh,7-12,2024,99.42
Aceh,7-12,2023,99.43
Aceh,7-12,2022,99.44
Aceh,7-12,2021,99.67
Aceh,7-12,2020,99.84
Aceh,13-15,2024,97.77
Aceh,13-15,2023,97.72
Aceh,13-15,2022,97.96
Aceh,13-15,2021,98.42
Aceh,13-15,2020,98.49
Aceh,16-18,2024,81.55
Aceh,16-18,2023,83.41
Aceh,16-18,2022,83.1
Aceh,16-18,2021,83.28
Aceh,16-18,2020,83.27
Aceh,19-23,2024,34.81
Aceh,19-23,2023,35.24
Aceh,19-23,2022,34.31
Aceh,19-23,2021,34.95
Aceh,19-23,2020,34.89
Bali,7-12,2024,99.65
Bali,7-12,2023,99.61
Bali,7-12,2022,99.55
Bali,7-12,2021,99.7
Bali,7-12,2020,99.57
Bali,13-15,2024,98.79
Bali,13-15,2023,97.95
Bali,13-15,2022,97.85
Bali,13-15,2021,98.22
Bali,13-15,2020,98.21
Bali,16-18,2024,85.17
Bali,16-18,2023,84.73
Bali,16-18,2022,83.84
Bali,16-18,2021,83.96
Bali,16-18,2020,82.96
Bali,19-23,2024,35.39
Bali,19-23,2023,34.31
Bali,19-23,2022,32.9
Bali,19-23,2021,31.48
Bali,19-23,2020,31.39
Banten,7-12,2024,99.52
Banten,7-12,2023,99.43
Banten,7-12,2022,99.33
Banten,7-12,2021,99.45
Banten,7-12,2020,99.4
Banten,13-15,2024,96.67
Banten,13-15,2023,96.65
Banten,13-15,2022,96.39
Banten,13-15,2021,96.77
Banten,13-15,2020,95.77
Banten,16-18,2024,71.91
Banten,16-18,2023,69.64
Banten,16-18,2022,69.22
Banten,16-18,2021,68.94
Banten,16-18,2020,68.76
Banten,19-23,2024,26.04
Banten,19-23,2023,24.85
Banten,19-23,2022,23.67
Banten,19-23,2021,23.54
Banten,19-23,2020,23.53
Bengkulu,7-12,2024,99.51
Bengkulu,7-12,2023,99.42
Bengkulu,7-12,2022,99.49
Bengkulu,7-12,2021,99.76
Bengkulu,7-12,2020,99.78
Bengkulu,13-15,2024,97.93
Bengkulu,13-15,2023,97.91
Bengkulu,13-15,2022,97.73
Bengkulu,13-15,2021,97.49
Bengkulu,13-15,2020,97.49
Bengkulu,16-18,2024,79.07
Bengkulu,16-18,2023,79.57
Bengkulu,16-18,2022,79.31
Bengkulu,16-18,2021,79.75
Bengkulu,16-18,2020,79.72
Bengkulu,19-23,2024,35.13
Bengkulu,19-23,2023,34.05
Bengkulu,19-23,2022,33.04
Bengkulu,19-23,2021,33.59
Bengkulu,19-23,2020,33.19
DI Yogyakarta,7-12,2024,99.65
DI Yogyakarta,7-12,2023,99.63
DI Yogyakarta,7-12,2022,99.59
DI Yogyakarta,7-12,2021,99.7
DI Yogyakarta,7-12,2020,99.89
DI Yogyakarta,13-15,2024,98.9
DI Yogyakarta,13-15,2023,98.88
DI Yogyakarta,13-15,2022,99.01
