Provinsi,Jenis Kelamin,Tahun,Persentase
Aceh,Laki-Laki,2024,52.81
Aceh,Laki-Laki,2023,53.16
Aceh,Laki-Laki,2022,53.79
Aceh,Laki-Laki,2021,53.8
Aceh,Laki-Laki,2020,54.38
Aceh,Perempuan,2024,47.19
Aceh,Perempuan,2023,46.84
Aceh,Perempuan,2022,46.21
Aceh,Perempuan,2021,46.2
Aceh,Perempuan,2020,45.62
Sumatera Utara,Laki-Laki,2024,51.32
Sumatera Utara,Laki-Laki,2023,51.79
Sumatera Utara,Laki-Laki,2022,51.61
Sumatera Utara,Laki-Laki,2021,51.53
Sumatera Utara,Laki-Laki,2020,51.4
Sumatera Utara,Perempuan,2024,48.68
Sumatera Utara,Perempuan,2023,48.21
Sumatera Utara,Perempuan,2022,48.39
Sumatera Utara,Perempuan,2021,48.47
Sumatera Utara,Perempuan,2020,48.6
Sumatera Barat,Laki-Laki,2024,51.18
Sumatera Barat,Laki-Laki,2023,51.44
Sumatera Barat,Laki-Laki,2022,51.81
Sumatera Barat,Laki-Laki,2021,51.39
Sumatera Barat,Laki-Laki,2020,51.16
Sumatera Barat,Perempuan,2024,48.82
Sumatera Barat,Perempuan,2023,48.56
Sumatera Barat,Perempuan,2022,48.19
Sumatera Barat,Perempuan,2021,48.61
Sumatera Barat,Perempuan,2020,48.84
Riau,Laki-Laki,2024,52.58
Riau,Laki-Laki,2023,52.17
Riau,Laki-Laki,2022,52.91
Riau,Laki-Laki,2021,52.9
Riau,Laki-Laki,2020,54.08
Riau,Perempuan,2024,47.42
Riau,Perempuan,2023,47.83
Riau,Perempuan,2022,47.09
Riau,Perempuan,2021,47.1
Riau,Perempuan,2020,45.92
Jambi,Laki-Laki,2024,52.85
Jambi,Laki-Laki,2023,53.47
Jambi,Laki-Laki,2022,53.71
Jambi,Laki-Laki,2021,53.14
Jambi,Laki-Laki,2020,53.66
Jambi,Perempuan,2024,47.15
Jambi,Perempuan,2023,46.53
Jambi,Perempuan,2022,46.29
Jambi,Perempuan,2021,46.86
Jambi,Perempuan,2020,46.34
Sumatera Selatan,Laki-Laki,2024,52.93
Sumatera Selatan,Laki-Laki,2023,52.65
