Provinsi,Tahun,Segmentasi Wilayah,Persentase
Aceh,2024,Perkotaan,96.44
Aceh,2023,Perkotaan,94.79
Aceh,2022,Perkotaan,94.83
Aceh,2021,Perkotaan,94.67
Aceh,2020,Perkotaan,96.22
Aceh,2024,Perdesaan,93.07
Aceh,2023,Perdesaan,89.46
Aceh,2022,Perdesaan,91.06
Aceh,2021,Perdesaan,89.74
Aceh,2020,Perdesaan,90.34
Bali,2024,Perkotaan,97.5
Bali,2023,Perkotaan,95.78
Bali,2022,Perkotaan,97.14
Bali,2021,Perkotaan,96.19
Bali,2020,Perkotaan,96.95
Bali,2024,Perdesaan,90.29
Bali,2023,Perdesaan,87.76
Bali,2022,Perdesaan,92.95
Bali,2021,Perdesaan,88.94
Bali,2020,Perdesaan,88.14
Banten,2024,Perkotaan,95.47
Banten,2023,Perkotaan,94.7
Banten,2022,Perkotaan,95.82
Banten,2021,Perkotaan,95.35
Banten,2020,Perkotaan,96.06
Banten,2024,Perdesaan,87.21
Banten,2023,Perdesaan,85.13
Banten,2022,Perdesaan,88.65
Banten,2021,Perdesaan,84.69
Banten,2020,Perdesaan,84.74
Bengkulu,2024,Perkotaan,98.24
Bengkulu,2023,Perkotaan,96.41
Bengkulu,2022,Perkotaan,97.56
Bengkulu,2021,Perkotaan,96.65
Bengkulu,2020,Perkotaan,97.16
Bengkulu,2024,Perdesaan,93.27
Bengkulu,2023,Perdesaan,90.34
Bengkulu,2022,Perdesaan,92.65
Bengkulu,2021,Perdesaan,88.91
Bengkulu,2020,Perdesaan,87.92
DI Yogyakarta,2024,Perkotaan,92.6
DI Yogyakarta,2023,Perkotaan,91.12
DI Yogyakarta,2022,Perkotaan,93.14
DI Yogyakarta,2021,Perkotaan,92.45
DI Yogyakarta,2020,Perkotaan,92.9
DI Yogyakarta,2024,Perdesaan,85.52
DI Yogyakarta,2023,Perdesaan,85.93
DI Yogyakarta,2022,Perdesaan,88.92
DI Yogyakarta,2021,Perdesaan,85.88
DI Yogyakarta,2020,Perdesaan,85.56
DKI Jakarta,2024,Perkotaan,98.49
