Provinsi,Segmentasi Wilayah,Tahun,Persentase
Aceh,Perkotaan,2024,92.6
Aceh,Perkotaan,2023,89.84
Aceh,Perkotaan,2022,85.64
Aceh,Perkotaan,2021,83.87
Aceh,Perkotaan,2020,85.65
Aceh,Perdesaan,2024,86.97
Aceh,Perdesaan,2023,84.59
Aceh,Perdesaan,2022,76.86
Aceh,Perdesaan,2021,71.41
Aceh,Perdesaan,2020,65.41
Sumatera Utara,Perkotaan,2024,94.77
Sumatera Utara,Perkotaan,2023,92.78
Sumatera Utara,Perkotaan,2022,89.95
Sumatera Utara,Perkotaan,2021,86.89
Sumatera Utara,Perkotaan,2020,82.04
Sumatera Utara,Perdesaan,2024,89.05
Sumatera Utara,Perdesaan,2023,85.56
Sumatera Utara,Perdesaan,2022,82.3
Sumatera Utara,Perdesaan,2021,74
Sumatera Utara,Perdesaan,2020,64.83
Sumatera Barat,Perkotaan,2024,94.85
Sumatera Barat,Perkotaan,2023,92.81
Sumatera Barat,Perkotaan,2022,91.71
Sumatera Barat,Perkotaan,2021,89.33
Sumatera Barat,Perkotaan,2020,85.14
Sumatera Barat,Perdesaan,2024,88.82
Sumatera Barat,Perdesaan,2023,87.03
Sumatera Barat,Perdesaan,2022,83.41
Sumatera Barat,Perdesaan,2021,75.51
Sumatera Barat,Perdesaan,2020,65.39
Riau,Perkotaan,2024,97.26
Riau,Perkotaan,2023,95.86
Riau,Perkotaan,2022,93.93
Riau,Perkotaan,2021,91.8
Riau,Perkotaan,2020,89.82
Riau,Perdesaan,2024,92.12
Riau,Perdesaan,2023,91.5
Riau,Perdesaan,2022,89.05
Riau,Perdesaan,2021,82.87
Riau,Perdesaan,2020,74.47
Jambi,Perkotaan,2024,93.01
Jambi,Perkotaan,2023,91.99
Jambi,Perkotaan,2022,92.2
Jambi,Perkotaan,2021,89.81
Jambi,Perkotaan,2020,86.45
Jambi,Perdesaan,2024,89.41
Jambi,Perdesaan,2023,88.25
Jambi,Perdesaan,2022,85.04
Jambi,Perdesaan,2021,76.74
Jambi,Perdesaan,2020,70.65
Sumatera Selatan,Perkotaan,2024,94.82
Sumatera Selatan,Perkotaan,2023,94.08
Sumatera Selatan,Perkotaan,2022,91.85
Sumatera Selatan,Perkotaan,2021,91.39
Sumatera Selatan,Perkotaan,2020,88.48
Sumatera Selatan,Perdesaan,2024,88.72
Sumatera Selatan,Perdesaan,2023,87.45
Sumatera Selatan,Perdesaan,2022,82.37
Sumatera Selatan,Perdesaan,2021,75.08
Sumatera Selatan,Perdesaan,2020,67.36
Bengkulu,Perkotaan,2024,95.83
Bengkulu,Perkotaan,2023,93.99
Bengkulu,Perkotaan,2022,93.23
Bengkulu,Perkotaan,2021,90.81
Bengkulu,Perkotaan,2020,87.34
Bengkulu,Perdesaan,2024,88.05
Bengkulu,Perdesaan,2023,86.13
Bengkulu,Perdesaan,2022,83.15
Bengkulu,Perdesaan,2021,71.81
Bengkulu,Perdesaan,2020,63.96
Lampung,Perkotaan,2024,93.84
Lampung,Perkotaan,2023,91.13
Lampung,Perkotaan,2022,91.22
Lampung,Perkotaan,2021,89.33
Lampung,Perkotaan,2020,85.71
Lampung,Perdesaan,2024,90.45
Lampung,Perdesaan,2023,87.76
Lampung,Perdesaan,2022,86.38
Lampung,Perdesaan,2021,80.93
Lampung,Perdesaan,2020,69.31
Kep. Bangka Belitung,Perkotaan,2024,93.09
