Kategori,Sub Kategori,Turunan,Tahun,Persentase
"Pertanian, Kehutanan, dan Perikanan",null,null,2024,12.61
"Pertanian, Kehutanan, dan Perikanan",null,null,2023,12.53
"Pertanian, Kehutanan, dan Perikanan",null,null,2022,12.4
"Pertanian, Kehutanan, dan Perikanan",null,null,2021,13.28
"Pertanian, Kehutanan, dan Perikanan",null,null,2020,13.7
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",null,2024,9.52
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",null,2023,9.25
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",null,2022,9.22
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",null,2021,9.85
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",null,2020,10.2
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Pangan,2024,2.19
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Pangan,2023,2.26
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Pangan,2022,2.32
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Pangan,2021,2.6
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Pangan,2020,3.07
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Hortikultura,2024,1.39
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Hortikultura,2023,1.37
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Hortikultura,2022,1.44
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Hortikultura,2021,1.55
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Hortikultura,2020,1.62
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Perkebunan,2024,4.17
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Perkebunan,2023,3.88
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Perkebunan,2022,3.76
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Perkebunan,2021,3.94
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Tanaman Perkebunan,2020,3.63
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Peternakan,2024,1.58
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Peternakan,2023,1.56
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Peternakan,2022,1.52
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Peternakan,2021,1.58
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Peternakan,2020,1.69
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Jasa Pertanian dan Perburuan,2024,0.18
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Jasa Pertanian dan Perburuan,2023,0.18
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Jasa Pertanian dan Perburuan,2022,0.18
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Jasa Pertanian dan Perburuan,2021,0.19
"Pertanian, Kehutanan, dan Perikanan","Pertanian, Peternakan, Perburuan, dan Jasa Pertanian",Jasa Pertanian dan Perburuan,2020,0.2
"Pertanian, Kehutanan, dan Perikanan",Kehutanan dan Penebangan Kayu,null,2024,0.59
"Pertanian, Kehutanan, dan Perikanan",Kehutanan dan Penebangan Kayu,null,2023,0.62
"Pertanian, Kehutanan, dan Perikanan",Kehutanan dan Penebangan Kayu,null,2022,0.6
"Pertanian, Kehutanan, dan Perikanan",Kehutanan dan Penebangan Kayu,null,2021,0.66
"Pertanian, Kehutanan, dan Perikanan",Kehutanan dan Penebangan Kayu,null,2020,0.7
"Pertanian, Kehutanan, dan Perikanan",Perikanan,null,2024,2.51
"Pertanian, Kehutanan, dan Perikanan",Perikanan,null,2023,2.66
"Pertanian, Kehutanan, dan Perikanan",Perikanan,null,2022,2.58
"Pertanian, Kehutanan, dan Perikanan",Perikanan,null,2021,2.77
"Pertanian, Kehutanan, dan Perikanan",Perikanan,null,2020,2.79
Pertambangan dan Penggalian,null,null,2024,9.15
Pertambangan dan Penggalian,null,null,2023,10.52
Pertambangan dan Penggalian,null,null,2022,12.22
Pertambangan dan Penggalian,null,null,2021,8.97
Pertambangan dan Penggalian,null,null,2020,6.43
Pertambangan dan Penggalian,"Pertambangan Minyak, Gas, dan Panas Bumi",null,2024,2.38
Pertambangan dan Penggalian,"Pertambangan Minyak, Gas, dan Panas Bumi",null,2023,2.49
Pertambangan dan Penggalian,"Pertambangan Minyak, Gas, dan Panas Bumi",null,2022,3
Pertambangan dan Penggalian,"Pertambangan Minyak, Gas, dan Panas Bumi",null,2021,2.72
Pertambangan dan Penggalian,"Pertambangan Minyak, Gas, dan Panas Bumi",null,2020,2.15
Pertambangan dan Penggalian,Pertambangan Batubara dan Lignit,null,2024,3.84
Pertambangan dan Penggalian,Pertambangan Batubara dan Lignit,null,2023,5.34
