Provinsi,Status Pendidikan,Tahun,Persentase
Aceh,Tidak/Belum Pernah Sekolah,2024,1.66
Aceh,Tidak/Belum Pernah Sekolah,2023,2.03
Aceh,Tidak/Belum Pernah Sekolah,2022,1.31
Aceh,Tidak/Belum Pernah Sekolah,2021,1.16
Aceh,Tidak/Belum Pernah Sekolah,2020,0.82
Aceh,Masih Bersekolah,2024,27.9
Aceh,Masih Bersekolah,2023,30.01
Aceh,Masih Bersekolah,2022,29.7
Aceh,Masih Bersekolah,2021,31.71
Aceh,Masih Bersekolah,2020,29.92
Aceh,Tidak Sekolah Lagi,2024,70.44
Aceh,Tidak Sekolah Lagi,2023,67.96
Aceh,Tidak Sekolah Lagi,2022,68.98
Aceh,Tidak Sekolah Lagi,2021,67.14
Aceh,Tidak Sekolah Lagi,2020,69.26
Sumatera Utara,Tidak/Belum Pernah Sekolah,2024,2.11
Sumatera Utara,Tidak/Belum Pernah Sekolah,2023,2.15
Sumatera Utara,Tidak/Belum Pernah Sekolah,2022,1.82
Sumatera Utara,Tidak/Belum Pernah Sekolah,2021,1.51
Sumatera Utara,Tidak/Belum Pernah Sekolah,2020,1.3
Sumatera Utara,Masih Bersekolah,2024,28.27
Sumatera Utara,Masih Bersekolah,2023,29.75
Sumatera Utara,Masih Bersekolah,2022,30.71
Sumatera Utara,Masih Bersekolah,2021,34.15
Sumatera Utara,Masih Bersekolah,2020,32.54
Sumatera Utara,Tidak Sekolah Lagi,2024,69.62
Sumatera Utara,Tidak Sekolah Lagi,2023,68.1
Sumatera Utara,Tidak Sekolah Lagi,2022,67.47
Sumatera Utara,Tidak Sekolah Lagi,2021,64.34
Sumatera Utara,Tidak Sekolah Lagi,2020,66.17
Sumatera Barat,Tidak/Belum Pernah Sekolah,2024,2.61
Sumatera Barat,Tidak/Belum Pernah Sekolah,2023,2.34
Sumatera Barat,Tidak/Belum Pernah Sekolah,2022,1.89
Sumatera Barat,Tidak/Belum Pernah Sekolah,2021,1.63
Sumatera Barat,Tidak/Belum Pernah Sekolah,2020,1.24
Sumatera Barat,Masih Bersekolah,2024,30.87
Sumatera Barat,Masih Bersekolah,2023,31.33
Sumatera Barat,Masih Bersekolah,2022,31.68
Sumatera Barat,Masih Bersekolah,2021,34.55
